,id,address,addressStreet,addressCity,addressZipcode,beds,baths,area,price,latitude,longitude
207,13245711,"5237 Deer Creek Ct, Boulder, CO 80301",5237 Deer Creek Ct,Boulder,80301,5,4,4105,1425000,40.07046,-105.18663
208,13216417,"1250 Wildwood Rd, Boulder, CO 80305",1250 Wildwood Rd,Boulder,80305,6,7,9140,4900000,39.97649,-105.26645
209,13178907,"3131 4th St, Boulder, CO 80304",3131 4th St,Boulder,80304,3,2,1854,1800000,40.03162,-105.29186
210,121155018,"9862 Isabelle Road, Lafayette, CO 80026",9862 Isabelle Road,Lafayette,80026,2,2,1320,1224900,40.035374,-105.122025
211,13179317,"3275 19th Street, Boulder, CO 80304",3275 19th Street,Boulder,80304,5,4,3127,2099000,40.03365,-105.27294
212,13179045,"727 Pine St, Boulder, CO 80302",727 Pine St,Boulder,80302,2,1,1152,2160000,40.01894,-105.28686
213,13245099,"1520 Lodge Ct, Boulder, CO 80303",1520 Lodge Ct,Boulder,80303,4,4,3616,1199000,40.01309,-105.22571
214,87806553,"470 Utica Ave, Boulder, CO 80304",470 Utica Ave,Boulder,80304,5,5,5207,4300000,40.05239,-105.29102
215,120937497,"2586 3rd St, Boulder, CO 80304",2586 3rd St,Boulder,80304,4,5,4390,5000000,40.023617,-105.29259
216,13196483,"930 Sunshine Canyon Dr, Boulder, CO 80302",930 Sunshine Canyon Dr,Boulder,80302,4,3,3380,2500000,40.0255,-105.30591
217,2062764450,"3950 57th Street, Boulder, CO 80301",3950 57th Street,Boulder,80301,4,4,4283,2995000,40.04657,-105.217224
218,13185111,"3890 Armer Ave, Boulder, CO 80305",3890 Armer Ave,Boulder,80305,5,3,2930,1395000,39.98167,-105.24856
219,13237725,"625 Pearl St UNIT 3, Boulder, CO 80302",625 Pearl St UNIT 3,Boulder,80302,2,1,748,535000,40.017426,-105.28218
220,13182880,"3100 23rd St, Boulder, CO 80304",3100 23rd St,Boulder,80304,4,3,2408,1500000,40.03114,-105.26664
221,13179598,"851 14th St, Boulder, CO 80302",851 14th St,Boulder,80302,5,4,5053,3750000,40.00289,-105.27534
222,13187500,"1262 Scrub Oak Cir, Boulder, CO 80305",1262 Scrub Oak Cir,Boulder,80305,5,4,2944,1680000,39.97714,-105.26165
223,13178821,"1831 Norwood Ave, Boulder, CO 80304",1831 Norwood Ave,Boulder,80304,5,7,5496,4300000,40.04399,-105.27358
224,13237904,"5584 Stonewall Place, Boulder, CO 80303",5584 Stonewall Place,Boulder,80303,6,4,2883,1049000,40.000454,-105.22305
225,13179676,"814 7th St, Boulder, CO 80302",814 7th St,Boulder,80302,4,4,4045,4995000,40.00225,-105.2851
226,13180710,"2041 5th St, Boulder, CO 80302",2041 5th St,Boulder,80302,5,3,2325,1790000,40.01675,-105.2898
227,13179682,"735 Mapleton Ave, Boulder, CO 80304",735 Mapleton Ave,Boulder,80304,4,4,4508,4175000,40.02087,-105.28671
228,13248347,"4588 Pussy Willow Ct, Boulder, CO 80301",4588 Pussy Willow Ct,Boulder,80301,5,4,3258,1029000,40.0574,-105.219
229,13181644,"651 College Ave, Boulder, CO 80302",651 College Ave,Boulder,80302,4,3,2434,2350000,40.00745,-105.28585
230,13184951,"1280 Ithaca Drive, Boulder, CO 80305",1280 Ithaca Drive,Boulder,80305,6,5,3609,1795000,39.976936,-105.2565
231,13181816,"517 15th St, Boulder, CO 80302",517 15th St,Boulder,80302,6,7,6769,6500000,39.99873,-105.27407
232,13238559,"8566 Flagstaff Road, Boulder, CO 80302",8566 Flagstaff Road,Boulder,80302,4,4,5074,3750000,39.962,-105.36309
233,13188829,"4370 Comanche Dr, Boulder, CO 80303",4370 Comanche Dr,Boulder,80303,4,3,2697,1522900,39.99785,-105.23937
234,13196467,"952 Utica Cir, Boulder, CO 80304",952 Utica Cir,Boulder,80304,6,4,3964,1998500,40.05206,-105.28441
235,13217107,"495 S Cedar Brook Rd, Boulder, CO 80304",495 S Cedar Brook Rd,Boulder,80304,4,4,4818,3489000,40.03697,-105.29914
236,13189073,"205 Fox Dr, Boulder, CO 80303",205 Fox Dr,Boulder,80303,2,2,1360,610000,39.99303,-105.24467
237,13188892,"290 Mohawk Dr, Boulder, CO 80303",290 Mohawk Dr,Boulder,80303,4,3,3880,1850000,39.99289,-105.23809
238,119232297,"4138 Clifton Ct, Boulder, CO 80301",4138 Clifton Ct,Boulder,80301,4,5,5047,2295000,40.05003,-105.24622
239,13258380,"3800 Colorado Ave UNIT H, Boulder, CO 80303",3800 Colorado Ave UNIT H,Boulder,80303,2,1,1072,689000,40.00604,-105.24593
240,13225450,"1225 Kalmia Ave, Boulder, CO 80304",1225 Kalmia Ave,Boulder,80304,5,4,2944,1250000,40.0393,-105.28159
241,13180880,"2543 Pine St, Boulder, CO 80302",2543 Pine St,Boulder,80302,4,2,2007,1800000,40.02401,-105.26223
