address,addressZipcode,beds,baths,area,price,year,source
"2959 EAGLE WAY , BOULDER, CO 80301",80301,2.0,2.0,1530.0,535000,2018,bouldercounty
"3325 TALISMAN CT A, BOULDER, CO 80301-2069",80301-2069,3.0,2.0,1176.0,420000,2018,bouldercounty
"4945 TWIN LAKES RD 43, BOULDER, CO 80301-3889",80301-3889,2.0,1.5,961.0,388000,2018,bouldercounty
"5365 OAK TREE CT , BOULDER, CO 80301",80301,5.0,2.5,3499.0,775000,2018,bouldercounty
"856 WALNUT ST 2, BOULDER, CO 80302",80302,1.0,1.0,959.0,610000,2018,bouldercounty
"3003 VALMONT RD 109, BOULDER, CO 80301",80301,0.0,0.0,0.0,18000,2018,bouldercounty
"109 36TH ST , BOULDER, CO 80305",80305,3.0,1.0,1040.0,615000,2018,bouldercounty
"764 15TH ST , BOULDER, CO 80302",80302,3.0,2.5,2733.0,1385000,2018,bouldercounty
"245 FAIR PL , BOULDER, CO 80302",80302,5.0,3.5,5005.0,1325000,2018,bouldercounty
"3630 IRIS AVE D, BOULDER, CO 80301",80301,2.0,1.0,880.0,336000,2018,bouldercounty
"1220 CLAREMONT DR , BOULDER, CO 80305-6604",80305-6604,4.0,2.5,2546.0,1195000,2018,bouldercounty
"642 UNIVERSITY AVE , PALO ALTO, CA 94303",94303,3.0,1.0,1054.0,949000,2018,bouldercounty
"4519 SUNNYSIDE PL , BOULDER, CO 80301",80301,3.0,2.5,2366.0,885000,2018,bouldercounty
"3035 ONEAL PKWY 13S, COLORADO SPRINGS, CO 80920",80920,2.0,1.5,1044.0,277000,2018,bouldercounty
"205 28TH ST , BOULDER, CO 80305",80305,2.0,1.0,792.0,527500,2018,bouldercounty
"3009 MADISON AVE 115M, BOULDER, CO 80303-2047",80303-2047,2.0,1.5,1102.0,355000,2018,bouldercounty
"695 MANHATTAN DR 114, BOULDER, CO 80303",80303,2.0,1.5,888.0,313800,2018,bouldercounty
"62 BENTHAVEN PL , SARASOTA, FL 34231",34231,3.0,1.5,1515.0,676000,2018,bouldercounty
"465 44TH ST , BOULDER, CO 80307",80307,3.0,2.5,2800.0,467900,2018,bouldercounty
"3011 6TH ST , BOULDER, CO 80304",80304,5.0,4.0,4109.0,2050000,2018,bouldercounty
"3040 10TH ST , BOULDER, CO 80304-2522",80304-2522,3.0,1.0,1074.0,885000,2018,bouldercounty
